hash,module,result
02790b30c0b4a2a5853ed80b6ec8e4ce,source known,0
02790b30c0b4a2a5853ed80b6ec8e4ce,source company,0
02790b30c0b4a2a5853ed80b6ec8e4ce,source ads,0
02790b30c0b4a2a5853ed80b6ec8e4ce,check h1,1
02790b30c0b4a2a5853ed80b6ec8e4ce,check nofollow,0
02790b30c0b4a2a5853ed80b6ec8e4ce,check wordpress,0
02790b30c0b4a2a5853ed80b6ec8e4ce,check sitemap,0
02790b30c0b4a2a5853ed80b6ec8e4ce,check og,1
02790b30c0b4a2a5853ed80b6ec8e4ce,micros counter,0
02790b30c0b4a2a5853ed80b6ec8e4ce,micros,0
02790b30c0b4a2a5853ed80b6ec8e4ce,check https,1
02790b30c0b4a2a5853ed80b6ec8e4ce,tools ads count,0
02790b30c0b4a2a5853ed80b6ec8e4ce,tools ads,0
02790b30c0b4a2a5853ed80b6ec8e4ce,tools social count,0
02790b30c0b4a2a5853ed80b6ec8e4ce,tools social,0
